Table ID,Hypothesis,Generator ID,Truth Label,Worker IDs,Labels,Majority Label,JSON
T1976,It involved the BMG label.,GW7,E,"['AISFU4P55HYEH', 'AMA18W8F60Y2J', 'A109CH3492UU42', 'A3I9XLIHPPWPN1', 'A2JPOXYZM5AJZZ']","['0001000', '0001001', '0001000', '0001000', '0001000']",0001000,"{""Origin"": ""0"", ""Genres"": ""0"", ""Years active"": ""0"", ""Labels"": ""1"", ""Associated acts"": ""0"", ""Website"": ""0"", ""none"": ""0""}"
T1976,They created Rap rock genre,GW7,N,"['A2JPOXYZM5AJZZ', 'A109CH3492UU42', 'A3I9XLIHPPWPN1', 'AMA18W8F60Y2J', 'AISFU4P55HYEH']","['0100001', '0100000', '0100001', '0100001', '0100000']",0100001,"{""Origin"": ""0"", ""Genres"": ""1"", ""Years active"": ""0"", ""Labels"": ""0"", ""Associated acts"": ""0"", ""Website"": ""0"", ""none"": ""1""}"
T1976,There were no members,GW7,C,"['A109CH3492UU42', 'A1NF6PELRKACS9', 'A2JPOXYZM5AJZZ', 'A3I9XLIHPPWPN1', 'AISFU4P55HYEH']","['0000001', '0000001', '0000001', '0010000', '0000001']",0000001,"{""Origin"": ""0"", ""Genres"": ""0"", ""Years active"": ""0"", ""Labels"": ""0"", ""Associated acts"": ""0"", ""Website"": ""0"", ""none"": ""1""}"
T1976,Hollywood Undead has made music on 5 or more music labels.,GW1,E,"['A1NF6PELRKACS9', 'A2JPOXYZM5AJZZ', 'AISFU4P55HYEH', 'AMA18W8F60Y2J', 'A3I9XLIHPPWPN1']","['0001000', '0001000', '0001000', '0001000', '0001000']",0001000,"{""Origin"": ""0"", ""Genres"": ""0"", ""Years active"": ""0"", ""Labels"": ""1"", ""Associated acts"": ""0"", ""Website"": ""0"", ""none"": ""0""}"
T1976,Hollywood Undead is more associated with nu metal than rap rock.,GW1,N,"['AISFU4P55HYEH', 'A109CH3492UU42', 'A3I9XLIHPPWPN1', 'AMA18W8F60Y2J', 'A2JPOXYZM5AJZZ']","['0100000', '0100001', '0100001', '0100001', '0100001']",0100001,"{""Origin"": ""0"", ""Genres"": ""1"", ""Years active"": ""0"", ""Labels"": ""0"", ""Associated acts"": ""0"", ""Website"": ""0"", ""none"": ""1""}"
T1976,Hollywood Undead has been active for over 20 years.,GW1,C,"['A2JPOXYZM5AJZZ', 'AMA18W8F60Y2J', 'A3I9XLIHPPWPN1', 'A109CH3492UU42', 'AISFU4P55HYEH']","['0010000', '0010000', '0010000', '0010000', '0010000']",0010000,"{""Origin"": ""0"", ""Genres"": ""0"", ""Years active"": ""1"", ""Labels"": ""0"", ""Associated acts"": ""0"", ""Website"": ""0"", ""none"": ""0""}"
T1976,Hollywood Undead is a band from the west coast of the USA.,GW4,E,"['A109CH3492UU42', 'A3I9XLIHPPWPN1', 'A2JPOXYZM5AJZZ', 'AISFU4P55HYEH', 'AMA18W8F60Y2J']","['1000000', '1000000', '1100000', '1000000', '1000000']",1000000,"{""Origin"": ""1"", ""Genres"": ""0"", ""Years active"": ""0"", ""Labels"": ""0"", ""Associated acts"": ""0"", ""Website"": ""0"", ""none"": ""0""}"
T1976,The band Hollywood Undead combines rap and rock in their songs.,GW4,N,"['A3V9JFVZQ2XF4Y', 'AISFU4P55HYEH', 'A3I9XLIHPPWPN1', 'A109CH3492UU42', 'A2JPOXYZM5AJZZ']","['0100000', '0100000', '0100000', '0100000', '0100000']",0100000,"{""Origin"": ""0"", ""Genres"": ""1"", ""Years active"": ""0"", ""Labels"": ""0"", ""Associated acts"": ""0"", ""Website"": ""0"", ""none"": ""0""}"
T1976,The band Hollywood Undead has been signed by Sony Records.,GW4,C,"['A2JPOXYZM5AJZZ', 'A3I9XLIHPPWPN1', 'AMA18W8F60Y2J', 'AISFU4P55HYEH', 'A109CH3492UU42']","['0001000', '0001000', '0001000', '0000001', '0001000']",0001000,"{""Origin"": ""0"", ""Genres"": ""0"", ""Years active"": ""0"", ""Labels"": ""1"", ""Associated acts"": ""0"", ""Website"": ""0"", ""none"": ""0""}"
T1976,Hollywood Undead currently only produces rap rock.,GW2,N,"['A109CH3492UU42', 'AMA18W8F60Y2J', 'A3I9XLIHPPWPN1', 'AISFU4P55HYEH', 'A2JPOXYZM5AJZZ']","['0100000', '0100000', '0100000', '0100000', '0100001']",0100000,"{""Origin"": ""0"", ""Genres"": ""1"", ""Years active"": ""0"", ""Labels"": ""0"", ""Associated acts"": ""0"", ""Website"": ""0"", ""none"": ""0""}"
T1976,Hollywood Undead has predominately rap influences,GW72,N,"['A109CH3492UU42', 'A3I9XLIHPPWPN1', 'A2JPOXYZM5AJZZ', 'AISFU4P55HYEH', 'AMA18W8F60Y2J']","['0100001', '0100000', '0100001', '0100000', '0100001']",0100001,"{""Origin"": ""0"", ""Genres"": ""1"", ""Years active"": ""0"", ""Labels"": ""0"", ""Associated acts"": ""0"", ""Website"": ""0"", ""none"": ""1""}"
T1976,Hollywood Undead's band members were born in Los Angeles.,GW93,N,"['A3I9XLIHPPWPN1', 'A2JPOXYZM5AJZZ', 'AISFU4P55HYEH', 'A109CH3492UU42', 'AMA18W8F60Y2J']","['1000001', '1000000', '1000001', '1000001', '1000001']",1000001,"{""Origin"": ""1"", ""Genres"": ""0"", ""Years active"": ""0"", ""Labels"": ""0"", ""Associated acts"": ""0"", ""Website"": ""0"", ""none"": ""1""}"
T1976,The Hollywood Undead are currently signed with BMG.,GW86,N,"['AISFU4P55HYEH', 'A109CH3492UU42', 'AMA18W8F60Y2J', 'A3I9XLIHPPWPN1', 'A2JPOXYZM5AJZZ']","['0001001', '0001001', '0001001', '0001001', '0001001']",0001001,"{""Origin"": ""0"", ""Genres"": ""0"", ""Years active"": ""0"", ""Labels"": ""1"", ""Associated acts"": ""0"", ""Website"": ""0"", ""none"": ""1""}"
T344,The movie Hot Fuzz was able to net over $60 million.,GW4,E,"['AISFU4P55HYEH', 'AMA18W8F60Y2J', 'A2JPOXYZM5AJZZ', 'A109CH3492UU42', 'A3I9XLIHPPWPN1']","['0000000000000010', '0000000000000010', '0000000000000110', '0000000000000110', '0000000000000010']",0000000000000010,"{""Directed by"": ""0"", ""Produced by"": ""0"", ""Written by"": ""0"", ""Starring"": ""0"", ""Music by"": ""0"", ""Cinematography"": ""0"", ""Edited by"": ""0"", ""Production company"": ""0"", ""Distributed by"": ""0"", ""Release date"": ""0"", ""Running time"": ""0"", ""Country"": ""0"", ""Language"": ""0"", ""Budget"": ""0"", ""Box office"": ""1"", ""none"": ""0""}"
T344,The movie Hot Fuzz was written and directed by the same person,GW4,N,"['A3I9XLIHPPWPN1', 'A109CH3492UU42', 'A2JPOXYZM5AJZZ', 'AISFU4P55HYEH', 'A3V9JFVZQ2XF4Y']","['1010000000000000', '1010000000000000', '1010000000000000', '1010000000000000', '1010000000000000']",1010000000000000,"{""Directed by"": ""1"", ""Produced by"": ""0"", ""Written by"": ""1"", ""Starring"": ""0"", ""Music by"": ""0"", ""Cinematography"": ""0"", ""Edited by"": ""0"", ""Production company"": ""0"", ""Distributed by"": ""0"", ""Release date"": ""0"", ""Running time"": ""0"", ""Country"": ""0"", ""Language"": ""0"", ""Budget"": ""0"", ""Box office"": ""0"", ""none"": ""0""}"
T344,The film Hot Fuzz came out in the United States before the United Kingdom.,GW4,C,"['AISFU4P55HYEH', 'A3I9XLIHPPWPN1', 'A3V9JFVZQ2XF4Y', 'A109CH3492UU42', 'A2JPOXYZM5AJZZ']","['0000000001000000', '0000000001000000', '0000000001000000', '0000000001000000', '0000000001000000']",0000000001000000,"{""Directed by"": ""0"", ""Produced by"": ""0"", ""Written by"": ""0"", ""Starring"": ""0"", ""Music by"": ""0"", ""Cinematography"": ""0"", ""Edited by"": ""0"", ""Production company"": ""0"", ""Distributed by"": ""0"", ""Release date"": ""1"", ""Running time"": ""0"", ""Country"": ""0"", ""Language"": ""0"", ""Budget"": ""0"", ""Box office"": ""0"", ""none"": ""0""}"
T344,'Hot Fuzz'' co-writer casted himself as a star.,GW27,N,"['A109CH3492UU42', 'A2JPOXYZM5AJZZ', 'AISFU4P55HYEH', 'A3I9XLIHPPWPN1', 'AMA18W8F60Y2J']","['0011000000000000', '0011000000000001', '0011000000000000', '0011000000000000', '0011000000000000']",0011000000000000,"{""Directed by"": ""0"", ""Produced by"": ""0"", ""Written by"": ""1"", ""Starring"": ""1"", ""Music by"": ""0"", ""Cinematography"": ""0"", ""Edited by"": ""0"", ""Production company"": ""0"", ""Distributed by"": ""0"", ""Release date"": ""0"", ""Running time"": ""0"", ""Country"": ""0"", ""Language"": ""0"", ""Budget"": ""0"", ""Box office"": ""0"", ""none"": ""0""}"
T344,Hot Fuzz was a low-budget film that was very profitable.,GW28,E,"['A2JPOXYZM5AJZZ', 'A3I9XLIHPPWPN1', 'AISFU4P55HYEH', 'A3V9JFVZQ2XF4Y', 'A109CH3492UU42']","['0000000000000110', '0000000000000110', '0000000000000110', '0000000000000110', '0000000000000110']",0000000000000110,"{""Directed by"": ""0"", ""Produced by"": ""0"", ""Written by"": ""0"", ""Starring"": ""0"", ""Music by"": ""0"", ""Cinematography"": ""0"", ""Edited by"": ""0"", ""Production company"": ""0"", ""Distributed by"": ""0"", ""Release date"": ""0"", ""Running time"": ""0"", ""Country"": ""0"", ""Language"": ""0"", ""Budget"": ""1"", ""Box office"": ""1"", ""none"": ""0""}"
T344,Hot Fuzz was a successful comedy film.,GW28,N,"['A3I9XLIHPPWPN1', 'A109CH3492UU42', 'AISFU4P55HYEH', 'A3V9JFVZQ2XF4Y', 'A2JPOXYZM5AJZZ']","['0000000000000111', '0000000000000111', '0000000000000001', '0000000000000011', '0000000000000111']",0000000000000111,"{""Directed by"": ""0"", ""Produced by"": ""0"", ""Written by"": ""0"", ""Starring"": ""0"", ""Music by"": ""0"", ""Cinematography"": ""0"", ""Edited by"": ""0"", ""Production company"": ""0"", ""Distributed by"": ""0"", ""Release date"": ""0"", ""Running time"": ""0"", ""Country"": ""0"", ""Language"": ""0"", ""Budget"": ""1"", ""Box office"": ""1"", ""none"": ""1""}"
T344,Hot Fuzz was released less than a decade ago in only three countries.,GW28,C,"['A3I9XLIHPPWPN1', 'AISFU4P55HYEH', 'A2JPOXYZM5AJZZ', 'A109CH3492UU42', 'AMA18W8F60Y2J']","['0000000001000000', '0000000001000000', '0000000001000001', '0000000001000001', '0000000001010000']",0000000001000000,"{""Directed by"": ""0"", ""Produced by"": ""0"", ""Written by"": ""0"", ""Starring"": ""0"", ""Music by"": ""0"", ""Cinematography"": ""0"", ""Edited by"": ""0"", ""Production company"": ""0"", ""Distributed by"": ""0"", ""Release date"": ""1"", ""Running time"": ""0"", ""Country"": ""0"", ""Language"": ""0"", ""Budget"": ""0"", ""Box office"": ""0"", ""none"": ""0""}"
T469,Kevin Parker's home studio is the largest studio in Fremantle.,GW27,N,"['A3I9XLIHPPWPN1', 'AISFU4P55HYEH', 'A109CH3492UU42', 'AMA18W8F60Y2J', 'A2JPOXYZM5AJZZ']","['00000001', '00100001', '00100001', '00100001', '00100011']",00100001,"{""Released"": ""0"", ""Recorded"": ""0"", ""Studio"": ""1"", ""Genre"": ""0"", ""Length"": ""0"", ""Label"": ""0"", ""Producer"": ""0"", ""none"": ""1""}"
T469,The album Currents was recorded in Australia.,GW4,E,"['AISFU4P55HYEH', 'A3V9JFVZQ2XF4Y', 'A2JPOXYZM5AJZZ', 'A109CH3492UU42', 'A3I9XLIHPPWPN1']","['01100000', '00100000', '00100000', '00100000', '01100000']",00100000,"{""Released"": ""0"", ""Recorded"": ""0"", ""Studio"": ""1"", ""Genre"": ""0"", ""Length"": ""0"", ""Label"": ""0"", ""Producer"": ""0"", ""none"": ""0""}"
T469,The album Currents took nearly three years to record.,GW4,N,"['A109CH3492UU42', 'A3I9XLIHPPWPN1', 'AMA18W8F60Y2J', 'A2JPOXYZM5AJZZ', 'AISFU4P55HYEH']","['01000000', '01000000', '01000000', '01000000', '01000000']",01000000,"{""Released"": ""0"", ""Recorded"": ""1"", ""Studio"": ""0"", ""Genre"": ""0"", ""Length"": ""0"", ""Label"": ""0"", ""Producer"": ""0"", ""none"": ""0""}"
T469,The album Currents was over na hour long when it was released in 2015.,GW4,C,"['A109CH3492UU42', 'AISFU4P55HYEH', 'A2JPOXYZM5AJZZ', 'A3V9JFVZQ2XF4Y', 'A3I9XLIHPPWPN1']","['10001000', '10001000', '10001000', '10001000', '10001000']",10001000,"{""Released"": ""1"", ""Recorded"": ""0"", ""Studio"": ""0"", ""Genre"": ""0"", ""Length"": ""1"", ""Label"": ""0"", ""Producer"": ""0"", ""none"": ""0""}"
T469,Currents is a self-produced pop album.,GW28,E,"['A2JPOXYZM5AJZZ', 'A109CH3492UU42', 'A3V9JFVZQ2XF4Y', 'A3I9XLIHPPWPN1', 'AISFU4P55HYEH']","['00111010', '00000010', '00010010', '00100010', '00110010']",00110010,"{""Released"": ""0"", ""Recorded"": ""0"", ""Studio"": ""1"", ""Genre"": ""1"", ""Length"": ""0"", ""Label"": ""0"", ""Producer"": ""1"", ""none"": ""0""}"
T469,The arrangement and instrumental was all done and produced by Kevin Parker.,GW28,N,"['AISFU4P55HYEH', 'A2JPOXYZM5AJZZ', 'A109CH3492UU42', 'A3I9XLIHPPWPN1', 'AMA18W8F60Y2J']","['00000011', '00100011', '00000011', '00100010', '00100011']",00100011,"{""Released"": ""0"", ""Recorded"": ""0"", ""Studio"": ""1"", ""Genre"": ""0"", ""Length"": ""0"", ""Label"": ""0"", ""Producer"": ""1"", ""none"": ""1""}"
T469,Currents was recorded and released over a couple of years.,GW28,C,"['AISFU4P55HYEH', 'A3V9JFVZQ2XF4Y', 'A109CH3492UU42', 'A3I9XLIHPPWPN1', 'A2JPOXYZM5AJZZ']","['11000000', '11000000', '11000000', '11000000', '11000000']",11000000,"{""Released"": ""1"", ""Recorded"": ""1"", ""Studio"": ""0"", ""Genre"": ""0"", ""Length"": ""0"", ""Label"": ""0"", ""Producer"": ""0"", ""none"": ""0""}"
T480,Dangerously in Love is an American music album.,GW28,E,"['AISFU4P55HYEH', 'AMA18W8F60Y2J', 'A109CH3492UU42', 'A2JPOXYZM5AJZZ', 'A3I9XLIHPPWPN1']","['00100001', '00100000', '00100000', '00111011', '00000101']",00100001,"{""Released"": ""0"", ""Recorded"": ""0"", ""Studio"": ""1"", ""Genre"": ""0"", ""Length"": ""0"", ""Label"": ""0"", ""Producer"": ""0"", ""none"": ""1""}"
T480,Dangerously in Love was Beyonce's debut solo album.,GW28,N,"['A3I9XLIHPPWPN1', 'A109CH3492UU42', 'A1NF6PELRKACS9', 'AISFU4P55HYEH', 'A2JPOXYZM5AJZZ']","['10000001', '00000001', '00000011', '00000001', '00000011']",00000001,"{""Released"": ""0"", ""Recorded"": ""0"", ""Studio"": ""0"", ""Genre"": ""0"", ""Length"": ""0"", ""Label"": ""0"", ""Producer"": ""0"", ""none"": ""1""}"
T480,Dangerously in Love was recorded and released within a year.,GW28,C,"['A2JPOXYZM5AJZZ', 'AISFU4P55HYEH', 'A3I9XLIHPPWPN1', 'AMA18W8F60Y2J', 'A109CH3492UU42']","['11000000', '11000000', '11000000', '11000000', '11000000']",11000000,"{""Released"": ""1"", ""Recorded"": ""1"", ""Studio"": ""0"", ""Genre"": ""0"", ""Length"": ""0"", ""Label"": ""0"", ""Producer"": ""0"", ""none"": ""0""}"
T480,Dangerously in Love is a hip hop album released in 2003.,GW51,E,"['AMA18W8F60Y2J', 'AISFU4P55HYEH', 'A3I9XLIHPPWPN1', 'A2JPOXYZM5AJZZ', 'A109CH3492UU42']","['10010001', '10010000', '10010000', '10010000', '10010000']",10010000,"{""Released"": ""1"", ""Recorded"": ""0"", ""Studio"": ""0"", ""Genre"": ""1"", ""Length"": ""0"", ""Label"": ""0"", ""Producer"": ""0"", ""none"": ""0""}"
T480,Dangerously in Love is a solo album by Beyonce.,GW51,N,"['A1NF6PELRKACS9', 'A3I9XLIHPPWPN1', 'AMA18W8F60Y2J', 'A2JPOXYZM5AJZZ', 'AISFU4P55HYEH']","['00000011', '00000001', '00000001', '00010011', '00000001']",00000001,"{""Released"": ""0"", ""Recorded"": ""0"", ""Studio"": ""0"", ""Genre"": ""0"", ""Length"": ""0"", ""Label"": ""0"", ""Producer"": ""0"", ""none"": ""1""}"
T480,Dangerously in Love was released in 2008 from Interscope records.,GW51,C,"['A109CH3492UU42', 'A2JPOXYZM5AJZZ', 'A3I9XLIHPPWPN1', 'A3V9JFVZQ2XF4Y', 'AISFU4P55HYEH']","['10000100', '10000100', '10000100', '10000100', '10000000']",10000100,"{""Released"": ""1"", ""Recorded"": ""0"", ""Studio"": ""0"", ""Genre"": ""0"", ""Length"": ""0"", ""Label"": ""1"", ""Producer"": ""0"", ""none"": ""0""}"
T480,'Dangerously in Love' was produced at different studios because of the many producers.,GW27,N,"['A2JPOXYZM5AJZZ', 'A109CH3492UU42', 'AMA18W8F60Y2J', 'A3I9XLIHPPWPN1', 'AISFU4P55HYEH']","['00100011', '00100011', '00100011', '00100011', '00100010']",00100011,"{""Released"": ""0"", ""Recorded"": ""0"", ""Studio"": ""1"", ""Genre"": ""0"", ""Length"": ""0"", ""Label"": ""0"", ""Producer"": ""1"", ""none"": ""1""}"
T485,Daniel is an Old English Poem.,GW51,E,"['A3I9XLIHPPWPN1', 'A109CH3492UU42', 'AISFU4P55HYEH', 'AMA18W8F60Y2J', 'A2JPOXYZM5AJZZ']","['0100100000', '0110000000', '0100100000', '0100100000', '0110100000']",0100100000,"{""Author(s)"": ""0"", ""Language"": ""1"", ""State of existence"": ""0"", ""Manuscript(s)"": ""0"", ""Genre"": ""1"", ""Verse form"": ""0"", ""Length"": ""0"", ""Subject"": ""0"", ""Personages"": ""0"", ""none"": ""0""}"
T485,Daniel is also attributed to the same unknown author of Beowulf.,GW51,N,"['A3I9XLIHPPWPN1', 'A3V9JFVZQ2XF4Y', 'A2JPOXYZM5AJZZ', 'A109CH3492UU42', 'A1NF6PELRKACS9']","['1000000001', '1000000001', '1000000001', '1000000001', '1000000001']",1000000001,"{""Author(s)"": ""1"", ""Language"": ""0"", ""State of existence"": ""0"", ""Manuscript(s)"": ""0"", ""Genre"": ""0"", ""Verse form"": ""0"", ""Length"": ""0"", ""Subject"": ""0"", ""Personages"": ""0"", ""none"": ""1""}"
T485,Daniel was authored by Homer and stretches over 2000 lines.,GW51,C,"['AMA18W8F60Y2J', 'AISFU4P55HYEH', 'A2JPOXYZM5AJZZ', 'A109CH3492UU42', 'A3I9XLIHPPWPN1']","['1000001000', '1000001000', '1000001000', '1000001000', '1000001000']",1000001000,"{""Author(s)"": ""1"", ""Language"": ""0"", ""State of existence"": ""0"", ""Manuscript(s)"": ""0"", ""Genre"": ""0"", ""Verse form"": ""0"", ""Length"": ""1"", ""Subject"": ""0"", ""Personages"": ""0"", ""none"": ""0""}"
T485,'Daniel' is thought to be unfinished because the Junius manuscript is damaged.,GW27,N,"['A109CH3492UU42', 'A3I9XLIHPPWPN1', 'A2JPOXYZM5AJZZ', 'AISFU4P55HYEH', 'A3V9JFVZQ2XF4Y']","['0001000001', '0001000001', '0011000001', '0011000001', '0011000001']",0011000001,"{""Author(s)"": ""0"", ""Language"": ""0"", ""State of existence"": ""1"", ""Manuscript(s)"": ""1"", ""Genre"": ""0"", ""Verse form"": ""0"", ""Length"": ""0"", ""Subject"": ""0"", ""Personages"": ""0"", ""none"": ""1""}"
T485,Daniel is a work of poetry that can not be attributed to anyone.,GW28,E,"['AMA18W8F60Y2J', 'A3V9JFVZQ2XF4Y', 'A2JPOXYZM5AJZZ', 'A3I9XLIHPPWPN1', 'A109CH3492UU42']","['1000100000', '1000000000', '1000100000', '1000100000', '1000100000']",1000100000,"{""Author(s)"": ""1"", ""Language"": ""0"", ""State of existence"": ""0"", ""Manuscript(s)"": ""0"", ""Genre"": ""1"", ""Verse form"": ""0"", ""Length"": ""0"", ""Subject"": ""0"", ""Personages"": ""0"", ""none"": ""0""}"
T485,Daniel is a 15th century poem.,GW28,N,"['A2JPOXYZM5AJZZ', 'A109CH3492UU42', 'AMA18W8F60Y2J', 'A3I9XLIHPPWPN1', 'AISFU4P55HYEH']","['0010100001', '0010000001', '0000100001', '0000000001', '0000000001']",0000000001,"{""Author(s)"": ""0"", ""Language"": ""0"", ""State of existence"": ""0"", ""Manuscript(s)"": ""0"", ""Genre"": ""0"", ""Verse form"": ""0"", ""Length"": ""0"", ""Subject"": ""0"", ""Personages"": ""0"", ""none"": ""1""}"
T485,Daniel is a short poem.,GW28,C,"['A3V9JFVZQ2XF4Y', 'A109CH3492UU42', 'AISFU4P55HYEH', 'A2JPOXYZM5AJZZ', 'A3I9XLIHPPWPN1']","['0000001000', '0010001000', '0000001000', '0010101001', '0000101000']",0000001000,"{""Author(s)"": ""0"", ""Language"": ""0"", ""State of existence"": ""0"", ""Manuscript(s)"": ""0"", ""Genre"": ""0"", ""Verse form"": ""0"", ""Length"": ""1"", ""Subject"": ""0"", ""Personages"": ""0"", ""none"": ""0""}"
T697,The private collector that owns Cleopatra an Caesar has never shown it to the public.,GW0,N,"['A109CH3492UU42', 'A2JPOXYZM5AJZZ', 'AISFU4P55HYEH', 'A3V9JFVZQ2XF4Y', 'A3I9XLIHPPWPN1']","['000011', '000011', '000010', '000011', '000011']",000011,"{""Artist"": ""0"", ""Year"": ""0"", ""Medium"": ""0"", ""Dimensions"": ""0"", ""Location"": ""1"", ""none"": ""1""}"
T697,Cleopatra and Caesar is a famous oil painting by Jean-Leon Gerome.,GW51,E,"['AISFU4P55HYEH', 'A266GU3J5H4TRL', 'A2JPOXYZM5AJZZ', 'A3I9XLIHPPWPN1', 'A109CH3492UU42']","['101000', '101000', '101001', '101000', '101000']",101000,"{""Artist"": ""1"", ""Year"": ""0"", ""Medium"": ""1"", ""Dimensions"": ""0"", ""Location"": ""0"", ""none"": ""0""}"
T697,Cleopatra and Caesar is one of the first oil paintings to be painted on canvas.,GW51,N,"['AISFU4P55HYEH', 'A2JPOXYZM5AJZZ', 'A3I9XLIHPPWPN1', 'A3V9JFVZQ2XF4Y', 'A109CH3492UU42']","['000001', '001001', '011000', '001001', '011001']",001001,"{""Artist"": ""0"", ""Year"": ""0"", ""Medium"": ""1"", ""Dimensions"": ""0"", ""Location"": ""0"", ""none"": ""1""}"
T697,Cleopatra and Caesar has been a public collection in the Boston Museum of Fine Arts for decades.,GW51,C,"['A2JPOXYZM5AJZZ', 'A3I9XLIHPPWPN1', 'AISFU4P55HYEH', 'A3V9JFVZQ2XF4Y', 'A109CH3492UU42']","['000010', '000010', '000011', '000011', '000010']",000010,"{""Artist"": ""0"", ""Year"": ""0"", ""Medium"": ""0"", ""Dimensions"": ""0"", ""Location"": ""1"", ""none"": ""0""}"
T697,Cleopatra and Caesar is a 19th century French work of art,GW28,E,"['A3I9XLIHPPWPN1', 'A3V9JFVZQ2XF4Y', 'A109CH3492UU42', 'AISFU4P55HYEH', 'A2JPOXYZM5AJZZ']","['011000', '010001', '110001', '010001', '011001']",010001,"{""Artist"": ""0"", ""Year"": ""1"", ""Medium"": ""0"", ""Dimensions"": ""0"", ""Location"": ""0"", ""none"": ""1""}"
T697,Cleopatra and Caesar is a painting that is as tall as a man.,GW28,N,"['A3I9XLIHPPWPN1', 'AMA18W8F60Y2J', 'A109CH3492UU42', 'A2JPOXYZM5AJZZ', 'AISFU4P55HYEH']","['000100', '000100', '000100', '001100', '000100']",000100,"{""Artist"": ""0"", ""Year"": ""0"", ""Medium"": ""0"", ""Dimensions"": ""1"", ""Location"": ""0"", ""none"": ""0""}"
T697,Cleopatra and Caesar is on view for public display.,GW28,C,"['A2JPOXYZM5AJZZ', 'A3I9XLIHPPWPN1', 'A109CH3492UU42', 'AMA18W8F60Y2J', 'AISFU4P55HYEH']","['000010', '000010', '000010', '000010', '000010']",000010,"{""Artist"": ""0"", ""Year"": ""0"", ""Medium"": ""0"", ""Dimensions"": ""0"", ""Location"": ""1"", ""none"": ""0""}"
T801,'Collage' was one the Disruptor label first before moving to Columbia.,GW27,N,"['A109CH3492UU42', 'A3I9XLIHPPWPN1', 'AISFU4P55HYEH', 'AMA18W8F60Y2J', 'A2JPOXYZM5AJZZ']","['000101', '000100', '000101', '000101', '000101']",000101,"{""Released"": ""0"", ""Recorded"": ""0"", ""Length"": ""0"", ""Label"": ""1"", ""Producer"": ""0"", ""none"": ""1""}"
T801,The album Collage was released in the winter of 2016.,GW4,E,"['A3I9XLIHPPWPN1', 'AISFU4P55HYEH', 'A2JPOXYZM5AJZZ', 'A109CH3492UU42', 'A3V9JFVZQ2XF4Y']","['100000', '100000', '100000', '100000', '100000']",100000,"{""Released"": ""1"", ""Recorded"": ""0"", ""Length"": ""0"", ""Label"": ""0"", ""Producer"": ""0"", ""none"": ""0""}"
